quarter,total_summonses
2006 Q1,445
2006 Q2,429
2006 Q3,249
2006 Q4,340
2007 Q1,454
2007 Q2,334
2007 Q3,167
2007 Q4,98
2008 Q1,149
2008 Q2,125
2008 Q3,77
2008 Q4,86
2009 Q1,136
2009 Q2,160
2009 Q3,54
2009 Q4,107
2010 Q1,264
2010 Q2,103
2010 Q3,99
2010 Q4,71
2011 Q1,74
2011 Q2,81
2011 Q3,65
2011 Q4,109
2012 Q1,166
2012 Q2,120
2012 Q3,82
2012 Q4,38
2013 Q1,120
2013 Q2,124
2013 Q3,88
2013 Q4,201
2014 Q1,833
2014 Q2,517
2014 Q3,309
2014 Q4,320
2015 Q1,380
2015 Q2,233
2015 Q3,148
2015 Q4,191
2016 Q1,274
2016 Q2,105
2016 Q3,110
2016 Q4,124
2017 Q1,162
2017 Q2,137
2017 Q3,81
2017 Q4,107
2018 Q1,63
2018 Q2,63
2018 Q3,72
2018 Q4,62
2019 Q1,104
2019 Q2,118
2019 Q3,86
2019 Q4,73
2020 Q1,70
2020 Q2,34
2020 Q3,8
2020 Q4,5
2021 Q1,13
2021 Q2,8
2021 Q3,8
2021 Q4,11
2022 Q1,17
2022 Q2,25
2022 Q3,40
2022 Q4,68
2023 Q1,116
2023 Q2,110
2023 Q3,93
2023 Q4,114
2024 Q1,253
2024 Q2,294
2024 Q3,243
2024 Q4,77
