,precinct,pedestrian_ksi,total_jaywalking_summonses,percent_pedestrian_ksi,percent_jaywalking_summonses
0,1,877,10,1.31,0.37
2,5,695,8,1.04,0.3
3,6,491,12,0.73,0.44
5,7,500,47,0.75,1.74
7,9,509,49,0.76,1.81
9,10,637,9,0.95,0.33
11,13,891,15,1.33,0.56
13,14,1113,25,1.66,0.93
15,17,951,5,1.42,0.19
17,18,1155,25,1.72,0.93
19,19,1134,9,1.69,0.33
21,20,578,4,0.86,0.15
23,23,544,41,0.81,1.52
25,24,394,14,0.59,0.52
26,25,638,62,0.95,2.3
28,26,313,7,0.47,0.26
29,28,521,81,0.78,3.0
30,30,395,33,0.59,1.22
32,32,578,52,0.86,1.93
34,33,512,76,0.76,2.81
36,34,648,9,0.97,0.33
37,40,1219,169,1.82,6.26
38,41,538,40,0.8,1.48
40,42,830,117,1.24,4.33
42,43,1037,69,1.55,2.56
44,44,1375,123,2.05,4.56
46,45,684,6,1.02,0.22
48,46,1165,22,1.74,0.81
50,47,1329,28,1.98,1.04
51,48,871,83,1.3,3.07
53,49,897,24,1.34,0.89
55,50,648,3,0.97,0.11
56,52,1167,70,1.74,2.59
58,60,829,87,1.24,3.22
60,61,1454,16,2.17,0.59
62,62,1334,4,1.99,0.15
64,63,796,7,1.19,0.26
65,66,1636,4,2.44,0.15
67,67,1648,32,2.46,1.19
68,68,960,2,1.43,0.07
70,69,758,41,1.13,1.52
72,70,1587,54,2.37,2.0
74,71,1086,18,1.62,0.67
76,72,937,10,1.4,0.37
78,73,1058,38,1.58,1.41
79,75,2089,56,3.11,2.07
81,76,284,113,0.42,4.19
83,77,912,25,1.36,0.93
84,78,671,10,1.0,0.37
86,79,927,132,1.38,4.89
88,81,708,44,1.06,1.63
89,83,850,33,1.27,1.22
91,84,693,81,1.03,3.0
93,88,525,31,0.78,1.15
95,90,1202,52,1.79,1.93
97,94,478,6,0.71,0.22
99,100,233,3,0.35,0.11
101,101,456,27,0.68,1.0
103,102,1054,8,1.57,0.3
104,103,1359,76,2.03,2.81
106,104,1139,10,1.7,0.37
108,105,1140,13,1.7,0.48
110,106,973,22,1.45,0.81
112,107,1115,6,1.66,0.22
114,109,1991,20,2.97,0.74
116,110,1383,41,2.06,1.52
118,112,771,2,1.15,0.07
119,113,938,34,1.4,1.26
120,114,1485,40,2.21,1.48
122,115,1188,106,1.77,3.93
124,120,739,23,1.1,0.85
126,121,876,20,1.31,0.74
128,122,696,4,1.04,0.15
130,123,296,2,0.44,0.07
